ACCESSION,PC,TEXT,TEXT_FR,ID,IMAGE,IMAGE_FR,CREDIT,LAT,LONG,ADDRESS,ADDRESS_FR,ARTWORK,ARTWORK_FR,ARTISTS,LOCATION,LOCATION_FR,CITY,PROVINCE,DATE_MOD,MATERIAL,MATERIAL_FR,YEAR
2009-0052,,"In 2008, the City of Ottawa called on local artists to submit graphically strong line drawings to be cut out of stainless steel panels for bicycle racks. Thirty exceptional designs, by emerging and established artists, were chosen from 164 submissions. Th","En 2008, la Ville d'Ottawa a organisé un concours afin de demander aux artistes locaux de soumettre des dessins au trait d’une grande qualité graphique, qui seront découpés dans des panneaux en acier inoxydable pour en faire des supports à vélos. Trente c",PA108,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_108_untitled-bicycle-rack.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_108_untitled-bicycle-rack.jpg,,45.418636,-75.69919,Bank St,rue Bank,"Bank Street North, Public Art Bicycle Racks: Untitled","Bank Street North, Public Art Bicycle Racks: Untitled","Walker, Eric","Bank Street, North (Laurier Ave. to Catherine St.)","Bank Street, North (Laurier Ave. to Catherine St.)",Ottawa,ON,20180322,stainless steel ,acier inoxydable ,2008
2009-0053,K2S 1B9,"Night Patrol is the focal point of the main entrance lobby at the Ottawa Police Service’s patrol station, located at 211 Huntmar Drive in Kanata. The artwork reflects the role of the new station in the community through a composite night scene of a patrol","Night Patrol (Patrouille de nuit) orne le hall de l’entrée principale du poste de patrouille du Service de police d’Ottawa, situé au 211, promenade Huntmar, à Kanata. L’œuvre reflète le rôle du nouveau poste de patrouille dans la communauté au moyen d’une",PA109,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_109_Night-Patrol.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_109_Night-Patrol.jpg,,45.292429,-75.924941,211 Huntmar Dr,"211, prom Huntmar",Night Patrol,Night Patrol,"Robertson, Erin","211 Huntmar Drive, West Division Patrol Station ","211 Huntmar Drive, West Division Patrol Station ",Ottawa,ON,20180322,acrylic and resin on wood,acrylique et résine sur bois,2009
1989-0021,K2P 2J5,"This large mural was commissioned for the re-opening of the Jack Purcell Community Centre on Elgin Street in 1989. Its surface was built up with many layers of translucent colour, and contrasted between a fairly spontaneous handling of paint and a relativ",Cette grande peinture murale a ete commandée pour la réouverture du Centre communautaire Jack-Purcell rue Elgin en 1989. Sa surface est constituée de multiples couches de couleur translucide ; elle offre un contraste entre le traitement assez spontané de,PA11,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_11_Ouananiche.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_11_Ouananiche.jpg,,45.415478,-75.689035,320 Jack Purcell Lane,"320, ln Jack Purcell",Ouananiche,Ouananiche,"Sharpe, Blair","320 Jack Purcell Lane, Jack-Purcell Community Centre","320 Jack Purcell Lane, Jack-Purcell Community Centre",Ottawa,ON,20180322,acrylic on canvas,acrylique sur toile,1989
2010-0010,,"After two years of collecting source material from community members, the artist created this sculptural series. It brings together fragments of the communities’ heritage and culture. Each element forges links and creates nostalgia between the viewer and","Après deux années à recueillir du matériel-source auprès de membres de la communauté, l'artiste a conçu son installation en intégrant ces fragments d'histoire et de géographie. Chaque élément forge liens et souvenirs entre le spectateur et le concept de p",PA110,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_110_Postcards-from-the-Piazzas.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_110_Postcards-from-the-Piazzas.jpg,,45.403128,-75.711018,Preston St,rue Preston,Postcards from the Piazzas,Postcards from the Piazzas,"fleury, c j",Preston Street,Preston Street,Ottawa,ON,20180322,"bronze, stainless steel and granite","bronze, acier inoxydable, et granit ",2010
2010-0011,,"Eighteen hand-carved marble sculptures are installed at intervals along Wellington West Street. The Wellington Marbles, a sculptural series by local artists Marcus Kucey-Jones and Ryan Lotecki was commissioned by the City of Ottawa as part of the Wellingt","Les dix-huit sculptures en marbre sont installées à intervalles le long de la rue Wellington Ouest. The Wellington Marbles, des artistes locaux Marcus Kucey-Jones et Ryan Lotecki, est une série de sculptures créées grâce à la Ville d’Ottawa pour la rue We",PA111,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_111_The-Wellington-Marbles.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_111_The-Wellington-Marbles.jpg,Image courtesy Eric Darwin / Image : gracieuseté d'Eric Darwin,45.421781,-75.691182,Wellington St W,rue Wellington O,The Wellington Marbles,The Wellington Marbles,"Kucey Jones and/et Lotecki, Marcus and/et Ryan",Wellington Street West,Wellington Street West,Ottawa,ON,20180322,marble and limestone,marbre et alcaire,2010
2010-0081,K1V 9P5,"Vision Weave, by artists Thoma Ewen and Gabriel Ewen, is a visual expression of inter-cultural and inter-generational creative collaboration. Hidden within the woven wool banners suspended from the foyer ceiling are over 100 ‘vision messages’ for the pres","Toile de vision, projet dirigé par les artistes Thoma Ewen et Gabriel Ewen, est l’expression visuelle d’une collaboration créative interculturelle et intergénérationnelle. Plus de cent « messages de vision » du présent et de l’avenir, écrits par les membr",PA112,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_112_Vision-Weave.jpg,,,45.372866,-75.646768,1550 Heatherington Rd,"1550, ch Heatherington",Vision Weave,Toile de vision,"Ewen, Thoma and Gabriel Ewen","1550 Heatherington Rd, Albion-Heatherington Community Centre","1550 Heatherington Rd, Albion-Heatherington Community Centre",Ottawa,ON,20180322,mixed fibre tapestry and wood ,tapisserie de tissus mélangés et bois,2010
2010-0082,K2E 6G2,"Pynn-Trudeau and Swain have executed a three part commission for the centre; an entrance mosaic, interior mural, and whimsical playground structure. The artwork fosters an artistic flow through the facility underlying the importance of ecological awarenes","Chandler Pynn-Trudeau et Carolynne Swain ont créé une œuvre en trois volets pour le Centre de la petite enfance Huron : une mosaïque à l’entrée, une murale intérieure et une structure originale englobant une aire de jeux. L’œuvre répand un courant artisti",PA113,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_113_A-Place-For-Us-All.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_113_A-Place-For-Us-All.jpg,,45.356993,-75.732862,24 Capilano Dr,"24, prom Capilano",A Place For Us All,A Place For Us All,"Pynn-Trudeau, Carolynne and Chandler Swain","24 Capilano Drive, Huron Early Learning Centre","24 Capilano Drive, Huron Early Learning Centre",Ottawa,ON,20180322,"clay, acrylic, wood","argile, acrylique, bois",2010
2011-0001,,"Bellwether is a permanent sculptural installation, primarily located on the vegetative roofs of the transit station, which consists of four life-sized sheep and one life-sized Border collie sheepdog all cast in bronze and finished with patina.","L’œuvre intitulée Bellwether est une sculpture permanente, que l’on aperçoit sur les toits végétaux de la station de transport en commun; elle se compose de quatre moutons et d’un chien berger de type Border-Collie, de grandeur nature, coulés dans le bron",PA114,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_114_Bellwether.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_114_Bellwether.jpg,,45.284463,-75.744491,645 Longfields Dr,"645, prom Longfields",Bellwether,Bellwether,Erin Robertson and Anna Williams  ,"645 Longfields Drive, Longfields Transit Station","645 Longfields Drive, Longfields Transit Station",Ottawa,ON,20180322,bronze,bronze,2011
2011-0002,,"Central themes found in Cheryl Pagurek’s artwork investigate concepts of time, memory, history and the ephemeral quality of the disappearing past. Currents, a twenty-minute loop of constantly changing video, prominently features imagery of the Jock River,","Les thèmes dominants représentés dans l’œuvre de Cheryl Pagurek explorent les concepts du temps, de la mémoire, de l’histoire et de la nature éphémère du passé évanescent. Currents, une œuvre consistant en des images vidéo à changement constant diffusées",PA115,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_115_Currents.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_115_Currents.jpg,,45.269854,-75.742951,65 Marketplace Ave,"65, av Marketplace",Currents,Courants ,"Pagurek, Cheryl","65 Marketplace Avenue, Marketplace Transit Station","65 Marketplace Avenue, Marketplace Transit Station",Ottawa,ON,20180322,LED panels and video,panneaux DEL et vidéo,2011
2011-0003,,"The sculptural series, Celebration of Growth, by local artist Karl Ciesluk was commissioned for King Edward Avenue as part of the street renewal project. Nineteen sculptures of seed pods and plant growth are installed at intervals along Kind Edward Avenue","La série de sculptures Celebration of Growth, (Célébration de la croissance) de l'artiste local Karl Ciesluk est une commande dans le cadre du projet de réfection de l'avenue King Edward. Dix-neuf sculptures de gousses et de bourgeons sont installées à in",PA116,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_116_Celebration-of-Growth.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_116_Celebration-of-Growth.jpg,,45.42012,-75.678529,King Edward Ave,av King Edward,Celebration of Growth,Célébration de la croissance,"Ciesluk, Karl",King Edward Avenue (Rideau Street to Murray Street),King Edward Avenue (Rideau Street to Murray Street),Ottawa,ON,20180322,"aluminum, stainless steel and stone
","aluminium, acier inoxydable et pierre
",2004
2011-0004,K2G 5K7,"Ottawa’s 250-seat studio theatre at Centrepointe Theatre features a public art commission by Lynda Cronin and Michèle Provost, inspired by elegant historical theatre billboards. Incorporated onto the corridor and lobby walls of the expansion, the artist t","Le tout nouveau théâtre d’atelier de 250 places du Théâtre Centrepointe, à Ottawa, présente une œuvre d’art public de Lynda Cronin et de Michèle Provost inspirée des élégants panneaux d’affichage des théâtres d’antan. Les deux artistes ont intégré dans le",PA117,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_117_Curtain-Time.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_117_Curtain-Time.jpg,,45.34459,-75.76448,101 Centrepointe Dr,"101, prom Centrepointe",Curtain Time,Curtain Time,"Cronin,  Lynda","101 Centrepointe Drive, Ben Franklin Place, 1st and 2nd, Centrepointe Theatre","101 Centrepointe Drive, Ben Franklin Place, 1st and 2nd, Centrepointe Theatre",Ottawa,ON,20180322,glass,verre,2010
2011-0005,K2G 4R7,"As if defying gravity, a stainless steel house floats twenty feet off the plaza. Tethered to the ground, ropes and boulders anchor the house, preventing it from floating away. Archive speaks to the challenge and importance of collecting and preserving our","Défiant la loi de la gravité, une maison en acier inoxydable flotte à une vingtaine de pieds au-dessus de la place. Fixés au sol, des câbles et des blocs rocheux ancrent la structure, l’empêchant de partir à la dérive. L’œuvre symbolise la difficulté et l",PA118,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_118_Archive.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_118_Archive.jpg,,45.340672,-75.761316,100 Tallwood Dr,"100, prom Tallwood",Archive,Archive,"Maynard, Don","100 Tallwood Drive, Central Archives  ","100 Tallwood Drive, Central Archives  ",Ottawa,ON,20180322,"stainless steel, stone, LED","acier inoxydable, pierre, DEL",2009
2011-0006,K1K 4E7,"Cairn Cunnane’s whimsical benches are created from collected, recycled, rescued, found and donated materials. The benches are a fluid collage of welded objects and forms inspired by themes of community and connections. Not only as resting places, these be","Les bancs fantaisistes de Cairn Cunnane sont créés à partir de matériaux recueillis, recyclés, sauvegardés, trouvés et reçus en cadeau. Les bancs sont un collage fluide d’objets soudés, inspiré par des thèmes de collectivité et de connexions. Ces bancs ne",PA119,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_119_Connections.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_119_Connections.jpg,,45.425571,-75.657529,33 Quill St,"33, rue Quill",Connections,Connections,"Cunnane, Cairn","33 Quill Street, Overbrook Community Centre","33 Quill Street, Overbrook Community Centre",Ottawa,ON,20180322,steel and zinc ,acier et zinc,2010
1990-0001,K1N 7M5,,,PA12,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_12_Bathing-in-Champagne.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_12_Bathing-in-Champagne.jpg,,45.430499,-75.686988,321 King Edward Ave,"321, av King Edward",Bathing in Champagne,Bain de champagne,"Cabri, Mimi","321 King Edward Avenue, Champagne Bath Pool","321 King Edward Avenue, Champagne Bath Pool",Ottawa,ON,20180322,ceramic tile,carreau de céramique,1990
2011-0007,K1K 4E7,"A circular window built into the wall of the courtyard, displaying a magnified photograph of a maple leaf transports the natural world into the built environment of the community centre. Illuminated from within, the window’s light box is powered directly","Construite dans le mur d’une cour, une fenêtre circulaire présente la photographie agrandie d’une feuille d’érable, reliant le monde de la nature à l’environnement bâti du Centre. Éclairé de l’intérieur, le caisson lumineux de la fenêtre est alimenté dire",PA120,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_120_Portal.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_120_Portal.jpg,,45.425571,-75.657529,33 Quill St,"33, rue Quill",Portal,Portal,"St. Amand , Chris","33 Quill Street, Overbrook Community Centre","33 Quill Street, Overbrook Community Centre",Ottawa,ON,20180322,mixed media,technique mixte,2010
2011-0008,K1T 3P8,"The artist describes the commissioned 3-channel video, mixed media installation “as an exploration of the body as a vehicle for new perceptions about wellness and exercise.”","L’artiste décrit l’installation qui lui a été commandée, une œuvre vidéo à trois canaux en technique mixte, comme étant une « exploration du corps en tant que véhicule de nouvelles perceptions de bien-être et d’exercice ».",PA121,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_121_Metabolics-of-Peace-A-Video-Triptych.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_121_Metabolics-of-Peace-A-Video-Triptych.jpg,,45.363903,-75.634656,363 Lorry Greenberg Dr,"363, prom Lorry Greenberg",Metabolics of Peace: A Video Triptych,Metabolics of Peace: A Video Triptych,"fleury, c j","363 Lorry Greenberg Drive, Greenboro Community Centre","363 Lorry Greenberg Drive, Greenboro Community Centre",Ottawa,ON,20180322,digital media installation,installation de médias numériques,2011
2011-0099,,"Narrative of Nature celebrates the dramatic environment surrounding Kanata. Thirty-six designs illustrate Jennifer Stead’s careful attention to and manipulation of spatial relationships, ensuring each composition tells a complete story while remaining par",L’oeuvre Narrative of Nature (Récit de la nature) reflète l’environnement spectaculaire de Kanata. Les trente-six créations de Jennifer Stead révèlent l’attention minutieuse qu’a portée l’artiste à l’établissement de rapports spatiaux de façon à ce que ch,PA122,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_122_Narrative-of-Nature.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_122_Narrative-of-Nature.jpg,,45.293396,-75.89571,Hazeldean Rd,ch Hazeldean,Narrative of Nature,Narrative of Nature,"Stead, Jennifer",Hazeldean Road (Terry Fox Drive to Carp Road),Hazeldean Road (Terry Fox Drive to Carp Road),Ottawa,ON,20180322,clear anodized aluminium ,aluminium anodisé incolore,2011
2011-0100,,"Poetically reconnecting urban travellers with nature’s guidance systems Imprint: Intersections of City & Sky, a series of twenty designs by artist team Alisdair MacRae and Negar Seyfollahy, draws attention to visible constellations in the north-eastern an","Rétablissant une connexion poétique entre le voyageur urbain et les systèmes d’orientation de la nature, l’œuvre Imprint: Intersections of City & Sky (Empreinte : rencontres de la ville et du ciel), une série de vingt créations du duo Alisdair MacRae et N",PA123,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_123_Imprint-Intersections-of-City-and-Sky.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_123_Imprint-Intersections-of-City-and-Sky.jpg,,45.293396,-75.89571,Hazeldean Rd,ch Hazeldean,Imprint: Intersections of City and Sky,Imprint: Intersections of City and Sky,,Hazeldean Road (Terry Fox Drive to Carp Road),Hazeldean Road (Terry Fox Drive to Carp Road),Ottawa,ON,20180322,"clear anodized aluminium, glass ","aluminium anodisé incolore, verre",2011
2011-0101,,"Taking inspiration from the natural environment, local economy and community, Eric Chan and Lynda Cronin in a series of twenty-six designs, cleverly employ organic and animal forms combined with urban elements to achieve visual consistency in the designs.","Ayant puisé leur inspiration dans l’environnement naturel et l’économie de la collectivité, Eric Chan et Lynda Cronin démontrent dans cette série de vingt­six créations leur habilité à faire cohabiter des formes naturelles et animales à des éléments urbai",PA124,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_124_Hazel-Lyrics.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_124_Hazel-Lyrics.jpg,,45.293396,-75.89571,Hazeldean Rd,ch Hazeldean,Hazel Lyrics,Hazel Lyrics,"Chan, Eric",Hazeldean Road (Terry Fox Drive to Carp Road),Hazeldean Road (Terry Fox Drive to Carp Road),Ottawa,ON,20180322,red anodized aluminium ,aluminium anodisé rouge,2011
2011-0102,K1S 0R7,"In collaboration with members of the Ottawa South community, Deborah Margo developed the imagery which was embossed and punctured onto the copper panels. Collected in an accompanying archive, the source imagery for the artwork focuses on local gardens and","En collaboration avec les membres de la collectivité d’Ottawa-Sud, Margo a élaboré l’imagerie qui a été estampée et perforée sur des panneaux de cuivre. Recueillies dans les archives jointes, les images sources de la maquette portent principalement sur le",PA125,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_125_For-Everyone-A-Garden.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_125_For-Everyone-A-Garden.jpg,,45.394707,-75.682307,260 Sunnyside Ave,"260, av Sunnyside",For Everyone A Garden,À chacun son jardin,"Margo, Deborah","260 Sunnyside Ave, Ottawa South Community Centre","260 Sunnyside Ave, Ottawa South Community Centre",Ottawa,ON,20180322,copper ,cuivre  ,2011
